119,124,138,134,127,135,113,76,98,138,141,129,135,141,113
105,116,129,125,113,112,92,64,85,111,110,112,128,144,135
96,108,118,119,106,95,83,64,82,100,94,95,109,126,129
98,103,106,106,100,95,87,70,78,95,93,93,104,113,111
115,99,91,97,101,102,89,65,69,84,91,106,115,109,100
141,110,97,110,121,119,90,61,77,92,98,114,114,99,95
120,104,94,99,107,102,74,56,75,87,85,87,82,81,90
81,79,76,77,76,69,55,48,63,67,56,50,50,65,86
92,87,92,98,94,89,67,49,72,80,62,55,62,86,112
109,102,107,107,111,117,83,54,79,93,83,85,91,108,125
98,102,111,102,110,122,91,65,91,109,98,95,99,104,106
89,92,108,107,109,119,98,77,101,120,103,86,88,97,97
111,99,102,107,109,113,95,73,90,113,106,88,82,91,104
136,129,122,119,124,123,95,68,87,117,115,97,82,88,110
136,144,145,141,144,136,98,67,89,113,106,95,81,83,109
